N,beta,log_Z,energy_per_spin,heat_capacity_per_spin,mean_disagreeing_edges,energy_variance
11,0.3675,3.6617127389472137,-0.9513906401593623,0.21928531478647664,1.0972187196812757,6.494636561772644
11,0.37,3.67124690500314,-0.9554389583303623,0.2210919532799812,1.0891220833392756,6.459954807304054
11,0.3725,3.6808214456948445,-0.9594655509614574,0.22288125249204108,1.0810688980770857,6.425116057605797
11,0.375,3.6904361432839545,-0.9634703222200942,0.22465292454263786,1.0730593555598116,6.390127631435032
11,0.3775,3.700090779096593,-0.9674531808335428,0.22640669071908798,1.0650936383329141,6.354996801026986
11,0.38,3.7097851335688325,-0.9714140400590028,0.22814228150084492,1.0571719198819938,6.319730789497089
11,0.3825,3.7195189862918356,-0.9753528176521131,0.22985943657748006,1.0492943646957735,6.284336768319332
11,0.385,3.7292921160566777,-0.9792694358339066,0.23155790485994937,1.0414611283321866,6.248821854881413
11,0.3875,3.739104300898827,-0.9831638212562634,0.23323744448526124,1.033672357487473,6.21319311011726
11,0.39,3.7489553181422766,-0.9870359049659067,0.23489782281466418,1.0259281900681867,6.177457536217335
11,0.3925,3.7588449444433034,-0.990885622366994,0.2365388164254796,1.018228755266012,6.141622074417094
11,0.395,3.768772955833855,-0.9947129131823489,0.23816021109670754,1.0105741736353029,6.105693602863836
11,0.3975,3.778739127764532,-0.998517721413384,0.23976180178853898,1.002964557173232,6.069678934562119
11,0.4,3.7887432351471713,-1.0022999952987677,0.24134339261591292,0.9954000094024646,6.0335848153978215
11,0.4025,3.798785052397005,-1.0060596872718748,0.24290479681625646,0.9878806254562504,5.997417922240813
11,0.405,3.8088643534743927,-1.0097967539170816,0.24444583671155504,0.9804064921658369,5.96118486112617
11,0.40750000000000003,3.8189809119261047,-1.0135111559249443,0.24596634366489825,0.9729776881501111,5.924892165513752
11,0.41000000000000003,3.8291345009261573,-1.0172028580463177,0.2474661580316519,0.9655942839073641,5.888546294625862
11,0.41250000000000003,3.8393248933161828,-1.0208718290454564,0.24894512910540925,0.958256341909087,5.852153631862696
11,0.41500000000000004,3.849551861645323,-1.0245180416521507,0.2504031150588762,0.9509639166956987,5.815720483295135
11,0.4175,3.859815178209643,-1.0281414725129456,0.25183998287984705,0.9437170549741087,5.779253076234434
11,0.42,3.87011461509105,-1.031742102141489,0.25325560830243043,0.936515795717022,5.7427575578782415
11,0.4225,3.8804499441957145,-1.0353199148680567,0.25464987573368436,0.9293601702638864,5.706239994032352
11,0.425,3.890820937291978,-1.038874898788303,0.25602267817582275,0.9222502024233943,5.6697063679074935
