q,orbit,dim,order,largest_prime,bits,log2_q,security_ratio,embedding_degree
167,2,4,790616547,491,8.939579214314692,7.383704292474052,0.30267934833964333,490
167,3,6,25388831500896,214913,17.713393227878534,7.383704292474052,0.3998307743249588,214912
173,1,1,182,13,3.700439718141092,7.434628227636725,0.4977302973113648,0
173,2,4,1007079696,333029,18.345288286371517,7.434628227636725,0.6168865383939651,83257
173,3,6,23777932403712,6713107,22.67854920699168,7.434628227636725,0.5083990867377597,3356553
179,1,1,195,13,3.700439718141092,7.483815777264256,0.49445895359730585,0
179,2,4,973738752,9533,13.218714581067502,7.483815777264256,0.44157669611623124,2383
179,3,6,32053352607744,200654501,27.580138277527038,7.483815777264256,0.6142173791725154,4013090
181,1,1,175,7,2.807354922057604,7.499845887083206,0.37432168131516413,0
181,2,4,1453190501,4236707,22.01451192831547,7.499845887083206,0.7338321433454555,4236706
181,3,6,31413692173536,196873,17.586905741912663,7.499845887083206,0.3908281584870551,98436
191,1,1,207,23,4.523561956057013,7.577428828035749,0.5969784815820737,0
191,2,4,1261458457,54493,15.733783297257496,7.577428828035749,0.5191003325245376,54492
191,3,6,50014084678464,42391,15.371470379394315,7.577428828035749,0.33809776218817505,14130
193,1,1,218,109,6.768184324776926,7.592457037268081,0.8914353142276398,0
193,2,4,1113114611,64301,15.972553553865076,7.592457037268081,0.5259349336934912,32150
193,3,6,37225528215840,208441,17.66927955569475,7.592457037268081,0.38786915902111607,34740
197,1,1,208,13,3.700439718141092,7.622051819456376,0.4854912831601579,0
197,2,4,1491993727,213141961,27.66723940180799,7.622051819456376,0.9074734748976453,26642745
197,3,6,57777385456896,1564151,20.576948363577866,7.622051819456376,0.4499433322108068,782075
199,1,1,204,17,4.087462841250339,7.636624620543649,0.5352446983258101,0
199,2,4,1869533869,24229,14.564447241424448,7.636624620543649,0.47679596566275934,2692
199,3,6,54892873813824,22367,14.44908414576479,7.636624620543649,0.3153462178149279,22366
211,1,1,236,59,5.882643049361842,7.721099188707185,0.761891915333214,0
211,2,4,1954932112,5879,12.521355062558259,7.721099188707185,0.40542657063879867,5878
211,3,6,87051385009152,34854907,25.054858442434853,7.721099188707185,0.5408309928867788,17427453
223,1,1,219,73,6.189824558880018,7.800899899920305,0.793475706430133,0
223,2,4,2206237712,21023,14.359680937350838,7.800899899920305,0.46019309059130276,10511
223,3,6,141161844002688,877,9.776433032444734,7.800899899920305,0.20887404354773245,876
227,1,1,228,19,4.247927513443585,7.826548487290915,0.5427587295142363,0
227,2,4,1969274643,2534459,21.27324639493035,7.826548487290915,0.6795219639115109,2534458
227,3,6,154082026096512,83299829,26.31181019820446,7.826548487290915,0.5603110626378645,20824957
229,1,1,221,17,4.087462841250339,7.839203788096944,0.5214130097570301,0
229,2,4,2933860608,60637,15.887910757857492,7.839203788096944,0.5066812646834655,15159
229,3,6,166429710913536,5179,12.338457843130849,7.839203788096944,0.26232378901085124,5178
233,1,1,250,5,2.321928094887362,7.864186144654281,0.2952534505386427,0
233,2,4,2463848016,44987,15.457220542211449,7.864186144654281,0.4913801713836139,22493
233,3,6,169713418374144,18415084459,34.10016896290742,7.864186144654281,0.7226890855935799,9207542229
239,1,1,270,5,2.321928094887362,7.900866807980749,0.29388270316643716,0
239,2,4,3381425523,1069,10.06204613772049,7.900866807980749,0.318384247648521,178
239,3,6,204977074824432,59751161,25.832463409985586,7.900866807980749,0.5449288885596693,59751160
241,1,1,252,7,2.807354922057604,7.912889336229962,0.35478253300015794,0
241,2,4,2944563979,420651997,28.648051952434116,7.912889336229962,0.9051071844663023,420651996
241,3,6,208347468325632,90428588683,36.39605989663367,7.912889336229962,0.766598612089574,45214294341
251,1,1,231,11,3.4594316186372973,7.971543553950772,0.4339726171254211,0
251,2,4,3527626781,3391,11.72749506902543,7.971543553950772,0.36779247926247527,1695
251,3,6,229895969087280,23333249,24.475883871226486,7.971543553950772,0.5117345155212759,11666624
257,1,1,240,5,2.321928094887362,8.005624549193879,0.29003709587169774,0
257,2,4,4024393933,1801,10.814582465906277,8.005624549193879,0.3377182629366264,225
257,3,6,308247592445952,50170506583,35.54612045426888,8.005624549193879,0.7400238885348879,16723502194
263,1,1,282,47,5.554588851677638,8.038918989292302,0.6909621628326211,0
263,2,4,4278805552,599,9.226412192788786,8.038918989292302,0.28692950523192867,299
263,3,6,406506668057088,264652778683,37.945309845178095,8.038918989292302,0.7867000918846713,264652778682
269,1,1,300,5,2.321928094887362,8.071462362556623,0.2876713029919767,0
