N,spins_per_layer,beta,kappa,log_Z,overlap_per_site,overlap_response_to_kappa_per_site,intralayer_interaction_energy_per_spin,evaluation
35,16,0.64,0.1475,35.082184503395055,0.737033566567751,1.8906319418966213,-1.2862760105555657,Numerical finite sums from exact integer counts.
35,16,0.64,0.15,35.11175935740694,0.7416838710366965,1.8299995461398328,-1.2881041510489952,Numerical finite sums from exact integer counts.
35,16,0.64,0.1525,35.14151723046406,0.7461854733596656,1.7716580227905492,-1.2899113818006394,Numerical finite sums from exact integer counts.
35,16,0.64,0.155,35.17145228780417,0.7505440092256088,1.7155341983505288,-1.2916976236270998,Numerical finite sums from exact integer counts.
35,16,0.64,0.1575,35.20155891643715,0.7547649316615392,1.6615551638462644,-1.293462834775836,Numerical finite sums from exact integer counts.
35,16,0.64,0.16,35.23183171785628,0.7588535120325492,1.609648540125968,-1.2952070078709883,Numerical finite sums from exact integer counts.
35,16,0.64,0.1625,35.2622655008023,0.7628148416636285,1.5597427104239565,-1.29693016702433,Numerical finite sums from exact integer counts.
35,16,0.64,0.165,35.2928552741034,0.766653834004565,1.5117670226701283,-1.2986323651084306,Numerical finite sums from exact integer counts.
35,16,0.64,0.1675,35.32359623961148,0.770375227265314,1.4656519639457037,-1.3003136811883431,Numerical finite sums from exact integer counts.
35,16,0.64,0.17,35.354483785252064,0.7739835874551009,1.421329309395042,-1.3019742181074778,Numerical finite sums from exact integer counts.
35,16,0.64,0.17250000000000001,35.385513478202895,0.7774833117641902,1.3787322478014519,-1.3036141002228492,Numerical finite sums from exact integer counts.
35,16,0.64,0.17500000000000002,35.41668105821367,0.7808786322326188,1.33779548592513,-1.305233471284446,Numerical finite sums from exact integer counts.
35,16,0.64,0.1775,35.44798243107741,0.7841736196553026,1.2984553335866766,-1.3068324924532226,Numerical finite sums from exact integer counts.
35,16,0.64,0.18,35.479413662262054,0.7873721876777445,1.2606497713620646,-1.3084113404519664,Numerical finite sums from exact integer counts.
35,16,0.64,0.1825,35.51097097070887,0.7904780970410749,1.2243185026367256,-1.3099702058431917,Numerical finite sums from exact integer counts.
35,16,0.64,0.185,35.54265072280319,0.7934949599393838,1.1894029916486173,-1.3115092914281106,Numerical finite sums from exact integer counts.
35,16,0.64,0.1875,35.57444942652099,0.7964262444562406,1.1558464890347226,-1.31302881076076,Numerical finite sums from exact integer counts.
35,16,0.64,0.19,35.60636372575411,0.7992752790509281,1.1235940462826481,-1.3145289867713685,Numerical finite sums from exact integer counts.
35,16,0.64,0.1925,35.63839039481541,0.8020452570682945,1.0925925203803,-1.316010050493134,Numerical finite sums from exact integer counts.
35,16,0.64,0.195,35.670526333124464,0.8047392412492294,1.0627905698522606,-1.3174722398867031,Numerical finite sums from exact integer counts.
35,16,0.64,0.1975,35.7027685600733,0.807360168221604,1.0341386432719073,-1.318915798756765,Numerical finite sums from exact integer counts.
35,16,0.64,0.2,35.73511421007111,0.8099108529541338,1.0065889612440544,-1.3203409757553424,Numerical finite sums from exact integer counts.
35,16,0.64,0.2025,35.7675605277661,0.8123939931579907,0.9800954927637494,-1.3217480234665395,Numerical finite sums from exact integer counts.
35,16,0.64,0.20500000000000002,35.800104863442186,0.8148121736231426,0.9546139267733738,-1.3231371975676867,Numerical finite sums from exact integer counts.
35,16,0.64,0.20750000000000002,35.83274466858759,0.8171678704783705,0.9301016396618078,-1.3245087560620359,Numerical finite sums from exact integer counts.
35,16,0.64,0.21,35.86547749163217,0.8194634553656641,0.9065176593766762,-1.3258629585783517,Numerical finite sums from exact integer counts.
35,16,0.64,0.2125,35.898300973849935,0.8217011995213003,0.8838226267528677,-1.3272000657329652,Numerical finite sums from exact integer counts.
35,16,0.64,0.215,35.93121284542274,0.8238832777573344,0.861978754597973,-1.3285203385500584,Numerical finite sums from exact integer counts.
35,16,0.64,0.2175,35.96421092166124,0.8260117723385075,0.8409497850174215,-1.329824037936164,Numerical finite sums from exact integer counts.
35,16,0.64,0.22,35.99729309937873,0.82808867675072,0.8207009454089836,-1.331111424205074,Numerical finite sums from exact integer counts.
